model_id,auroc_mean,average_precision_mean,recall_0_50,recall_0_01,accessibility_persistence,low_score_mass_proxy,operational_smoothness,max_recall_jump,recurring_pattern,low_score_mass_lt_0_01,recovery,Model
cart,0.6249348388743072,0.14584283747531349,0.29100508080350607,0.29100508080350607,0.29100508080350607,0.6666666666666667,1.0,0.0,quantized_allocator,0.9429192442351207,0.0,CART
hddt,0.78103317684176,0.2464972321604638,0.29085558589946425,0.8518013569736846,0.5005676920244857,0.013333333333333319,0.2353193391940095,0.2690393175480262,broad_allocator,0.5180826968278748,0.5609457710742204,HDDT
hddt_forest,0.8389429514560982,0.34343795377989517,0.09543757094875303,0.9978461538461538,0.5397041024043931,0.24666666666666665,0.1741094143235372,0.6100423719871327,cliff_allocator,0.1251806593282375,0.9024085828974008,Bagged HDDT (hddt_forest)
random_forest,0.8176383336661068,0.35730865087664254,0.15314813387774864,0.910946894349401,0.5596832043576347,0.03333333333333332,0.2249006636034805,0.3457643267257274,broad_allocator,0.4275077211787478,0.7577987604716524,Random Forest
xgboost,0.8009777683878431,0.30897260083309813,0.12089831361396855,0.9853667099673491,0.49150118327441844,0.20666666666666664,0.1752655987880433,0.4887081236669256,cliff_allocator,0.2032154524664088,0.8644683963533806,XGBoost
lightgbm,0.8479264101622702,0.3461945585481863,0.20264319287529192,0.7511324113218418,0.44132101359323156,0.01999999999999998,0.262411383342322,0.2218423662369201,conservative_allocator,0.675342212164327,0.54848921844655,LightGBM
mlp,0.7068085527711819,0.24102459073612986,0.1345772626470007,0.7867483908343882,0.48682357461077325,0.3,0.4177980407566684,0.406135293136751,cliff_allocator,0.4086259001373763,0.6521711281873874,MLP
